0	56	1	20141129
9	22	11	20140316
68	72	69	20140320
118	17	25	20150114
129	153	73	20140921
151	61	65	20140905
154	18	3	20140809
156	9	1	20140219
166	100	17	20141109
190	21	4	20140928
222	21	70	20140316
250	133	74	20150207
253	7	60	20141211
256	4	33	20140401
296	17	159	20141211
324	4	68	20141006
339	17	24	20140623
361	161	17	20140210
377	11	74	20140202
393	48	53	20140721
400	26	72	20140421
404	16	21	20140814
418	17	3	20140811
448	13	17	20140531
501	17	70	20140325
541	17	74	20150108
553	25	75	20140711
568	37	130	20140206
584	55	50	20140528
598	49	4	20140206
602	19	74	20140223
605	25	21	20140619
629	4	128	20140613
648	28	17	20140831
723	3	11	20141016
735	82	69	20140718
809	120	55	20140705
825	82	26	20140822
827	21	21	20140530
830	74	24	20140624
855	55	43	20140717
866	43	24	20140807
891	48	52	20140511
939	14	70	20140603
942	0	11	20140731
952	45	24	20140808
968	21	40	20140923
984	1	157	20140101
1121	20	73	20140419
1131	58	23	20150413
1141	29	2	20150607
1143	52	4	20150609
1186	18	37	20150308
1197	24	1	20140310
1208	1	50	20141008
1212	1	118	20140309
1222	1	3	20140302
1226	0	21	20151107
1233	22	68	20140921
1242	18	3	20140520
1280	17	65	20141226
1367	3	4	20140114
1407	1	59	20150126
1422	5	4	20140510
1437	0	70	20140615
1471	114	19	20140106
1474	25	77	20141221
1477	19	76	20140417
1497	0	88	20140819
1565	0	75	20140314
1574	1	147	20141022
1606	24	77	20140517
1610	2	94	20140201
1614	1	26	20140107
1616	0	17	20150621
1628	23	25	20140419
1633	17	95	20140627
1668	21	19	20140607
1703	21	40	20140719
1723	48	43	20140228
1741	8	73	20140117
1798	18	17	20150203
1829	2	35	20140416
1833	59	4	20140501
1837	28	4	20150214
1845	56	63	20140130
1871	21	49	20141013
1878	4	73	20140518
1887	53	69	20140312
1891	21	68	20140413
1898	13	103	20140104
1951	7	7	20150104
1993	3	73	20140313
1995	17	23	20150214
2035	17	42	20140424
2039	7	50	20150212
2084	7	28	20150929
2087	63	19	20140729
2090	3	36	20150607
2106	0	21	20140122
2110	23	24	20140528
2119	43	38	20140524
2153	12	120	20140310
2240	4	1	20140401
2271	6	21	20140714
2295	65	103	20140706
2327	22	37	20140614
2332	3	44	20140111
2358	0	49	20140306
2400	70	16	20140423
2403	57	17	20140201
2415	1	122	20140318
2436	15	31	20140805
2440	21	16	20141122
2444	48	1	20140307
2456	47	46	20140820
2463	16	3	20140317
2467	126	17	20140328
2525	13	37	20140914
2534	0	105	20141030
2538	56	73	20140616
2540	3	69	20141020
2544	17	1	20140330
2553	21	74	20140718
2555	100	57	20140226
2609	11	112	20140301
2622	49	1	20140713
2666	22	10	20150528
2711	17	19	20140506
2731	28	65	20150801
2735	70	68	20141225
2738	25	3	20141107
2747	41	21	20140224
2768	92	69	20140907
2803	7	44	20140417
2813	37	13	20140215
2823	62	95	20140125
2827	8	21	20140718
2859	7	77	20141105
2864	10	70	20140814
2867	35	1	20140911
2887	4	69	20140319
2896	73	4	20141013
2911	3	74	20140429
2915	23	22	20150617
2960	6	4	20150304
2963	1	31	20140808
2988	50	1	20140903
3015	122	1	20140128
3094	0	1	20140815
3098	2	19	20140718
3101	11	100	20140508
3108	7	72	20141114
3121	65	22	20150217
3133	0	26	20140811
3142	70	4	20140327
3162	74	23	20140303
3252	4	79	20140317
3256	1	55	20140830
3270	70	61	20140312
